Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor441                                               (1,)   512.00B
Tensor442                                          (1000, 1)     4.00K
Tensor443                                               (1,)   512.00B
Tensor444                                               (1,)   512.00B
Tensor445                                          (1000, 1)     4.00K
Tensor446                                               (1,)   512.00B
Tensor447                                               (1,)   512.00B
Tensor448                                          (1000, 1)     4.00K
Tensor449                                               (1,)   512.00B
Tensor450                                               (1,)   512.00B
Tensor451                                          (1000, 1)     4.00K
Tensor452                                          (1000, 1)     4.00K
Tensor453                                          (1000, 1)     4.00K
Tensor454                                          (1000, 1)     4.00K
Tensor455                                          (1000, 1)     0.00B
Tensor456                                          (1000, 1)     4.00K
Tensor457                                          (1000, 1)     0.00B
Tensor458                                          (1000, 1)     4.00K
Tensor459                                          (1000, 1)     0.00B
Tensor460                                          (1000, 1)     4.00K
Tensor461                                          (1000, 1)     0.00B
Tensor462                                          (1000, 1)     4.00K
Tensor463                                          (1000, 1)     0.00B
Tensor464                                          (1000, 1)     4.00K
Tensor465                                          (1000, 1)     0.00B
Tensor466                                          (1000, 1)     4.00K
Tensor467                                          (1000, 1)     0.00B
Tensor468                                          (1000, 1)     4.00K
Tensor469                                          (1000, 1)     0.00B
Tensor470                                          (1000, 1)     4.00K
Tensor471                                               (1,)   512.00B
Tensor472                                               (1,)   512.00B
Tensor473                                               (1,)   512.00B
Tensor474                                               (1,)   512.00B
Tensor475                                               (1,)   512.00B
Tensor476                                          (1000, 1)     4.00K
Parameter477                                          (8, 1)   512.00B
Parameter478                                            (8,)   512.00B
Tensor479                                             (8, 1)   512.00B
Parameter480                                          (8, 8)   512.00B
Parameter481                                            (8,)   512.00B
Tensor482                                             (8, 8)   512.00B
Parameter483                                          (2, 8)   512.00B
Parameter484                                            (2,)   512.00B
Tensor485                                             (2, 8)   512.00B
Parameter486                                          (8, 1)   512.00B
Parameter487                                            (8,)   512.00B
Tensor488                                             (8, 1)   512.00B
Parameter489                                          (8, 8)   512.00B
Parameter490                                            (8,)   512.00B
Tensor491                                             (8, 8)   512.00B
Parameter492                                          (2, 8)   512.00B
Parameter493                                            (2,)   512.00B
Tensor494                                             (2, 8)   512.00B
Parameter495                                          (8, 1)   512.00B
Parameter496                                            (8,)   512.00B
Tensor497                                             (8, 1)   512.00B
Parameter498                                          (8, 8)   512.00B
Parameter499                                            (8,)   512.00B
Tensor500                                             (8, 8)   512.00B
Parameter501                                          (2, 8)   512.00B
Parameter502                                            (2,)   512.00B
Tensor503                                             (2, 8)   512.00B
Parameter504                                          (8, 1)   512.00B
Parameter505                                            (8,)   512.00B
Tensor506                                             (8, 1)   512.00B
Parameter507                                          (8, 8)   512.00B
Parameter508                                            (8,)   512.00B
Tensor509                                             (8, 8)   512.00B
Parameter510                                          (2, 8)   512.00B
Parameter511                                            (2,)   512.00B
Tensor512                                             (2, 8)   512.00B
Parameter513                                          (8, 1)   512.00B
Parameter514                                            (8,)   512.00B
Tensor515                                             (8, 1)   512.00B
Parameter516                                          (8, 8)   512.00B
Parameter517                                            (8,)   512.00B
Tensor518                                             (8, 8)   512.00B
Parameter519                                          (2, 8)   512.00B
Parameter520                                            (2,)   512.00B
Tensor521                                             (2, 8)   512.00B
Tensor522                                               (1,)   512.00B
Tensor523                                               (1,)   512.00B
Tensor524                                               (1,)   512.00B
Tensor525                                               (1,)   512.00B
Parameter526                                          (8, 1)   512.00B
Parameter527                                            (8,)   512.00B
Tensor528                                             (8, 1)   512.00B
Parameter529                                          (8, 8)   512.00B
Parameter530                                            (8,)   512.00B
Tensor531                                             (8, 8)   512.00B
Parameter532                                          (2, 8)   512.00B
Parameter533                                            (2,)   512.00B
Tensor534                                             (2, 8)   512.00B
Tensor535                                               (1,)   512.00B
Tensor536                                               (1,)   512.00B
Tensor537                                               (1,)   512.00B
Tensor538                                               (1,)   512.00B
Parameter539                                        (256, 1)     1.00K
Parameter540                                          (256,)     1.00K
Tensor541                                           (256, 1)     1.00K
Tensor542                                             (256,)     2.00K
Parameter543                                      (256, 279)   279.00K
Parameter544                                          (256,)     1.00K
Parameter545                                      (256, 256)   256.00K
Parameter546                                          (256,)     1.00K
Tensor547                                         (256, 256)   256.00K
Tensor548                                             (256,)     2.00K
Parameter549                                      (256, 256)   256.00K
Parameter550                                          (256,)     1.00K
Tensor551                                         (256, 256)   256.00K
Tensor552                                             (256,)     2.00K
Parameter553                                        (2, 256)     2.00K
Parameter554                                            (2,)   512.00B
