Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor514                                             (8, 8)   512.00B
Tensor515                                             (8, 8)   512.00B
Tensor516                                               (8,)   512.00B
Tensor517                                               (8,)   512.00B
Tensor518                                               (8,)   512.00B
Tensor519                                             (2, 8)   512.00B
Tensor520                                             (2, 8)   512.00B
Tensor521                                             (2, 8)   512.00B
Tensor522                                               (2,)   512.00B
Tensor523                                               (2,)   512.00B
Tensor524                                               (2,)   512.00B
Tensor525                                             (8, 1)   512.00B
Tensor526                                             (8, 1)   512.00B
Tensor527                                             (8, 1)   512.00B
Tensor528                                               (8,)   512.00B
Tensor529                                               (8,)   512.00B
Tensor530                                               (8,)   512.00B
Tensor531                                             (8, 8)   512.00B
Tensor532                                             (8, 8)   512.00B
Tensor533                                             (8, 8)   512.00B
Tensor534                                               (8,)   512.00B
Tensor535                                               (8,)   512.00B
Tensor536                                               (8,)   512.00B
Tensor537                                             (2, 8)   512.00B
Tensor538                                             (2, 8)   512.00B
Tensor539                                             (2, 8)   512.00B
Tensor540                                               (2,)   512.00B
Tensor541                                               (2,)   512.00B
Tensor542                                               (2,)   512.00B
Tensor543                                             (8, 1)   512.00B
Tensor544                                             (8, 1)   512.00B
Tensor545                                             (8, 1)   512.00B
Tensor546                                               (8,)   512.00B
Tensor547                                               (8,)   512.00B
Tensor548                                               (8,)   512.00B
Tensor549                                             (8, 8)   512.00B
Tensor550                                             (8, 8)   512.00B
Tensor551                                             (8, 8)   512.00B
Tensor552                                               (8,)   512.00B
Tensor553                                               (8,)   512.00B
Tensor554                                               (8,)   512.00B
Tensor555                                             (2, 8)   512.00B
Tensor556                                             (2, 8)   512.00B
Tensor557                                             (2, 8)   512.00B
Tensor558                                               (2,)   512.00B
Tensor559                                               (2,)   512.00B
Tensor560                                               (2,)   512.00B
Tensor561                                             (8, 1)   512.00B
Tensor562                                             (8, 1)   512.00B
Tensor563                                             (8, 1)   512.00B
Tensor564                                               (8,)   512.00B
Tensor565                                               (8,)   512.00B
Tensor566                                               (8,)   512.00B
Tensor567                                             (8, 8)   512.00B
Tensor568                                             (8, 8)   512.00B
Tensor569                                             (8, 8)   512.00B
Tensor570                                               (8,)   512.00B
Tensor571                                               (8,)   512.00B
Tensor572                                               (8,)   512.00B
Tensor573                                             (2, 8)   512.00B
