Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor390                                             (8, 1)   512.00B
Tensor391                                             (8, 1)   512.00B
Tensor392                                             (8, 1)   512.00B
Tensor393                                               (8,)   512.00B
Tensor394                                               (8,)   512.00B
Tensor395                                               (8,)   512.00B
Tensor396                                             (8, 8)   512.00B
Tensor397                                             (8, 8)   512.00B
Tensor398                                             (8, 8)   512.00B
Tensor399                                               (8,)   512.00B
Tensor400                                               (8,)   512.00B
Tensor401                                               (8,)   512.00B
Tensor402                                             (2, 8)   512.00B
Tensor403                                             (2, 8)   512.00B
Tensor404                                             (2, 8)   512.00B
Tensor405                                               (2,)   512.00B
Tensor406                                               (2,)   512.00B
Tensor407                                               (2,)   512.00B
Tensor408                                             (8, 1)   512.00B
Tensor409                                             (8, 1)   512.00B
Tensor410                                             (8, 1)   512.00B
Tensor411                                               (8,)   512.00B
Tensor412                                               (8,)   512.00B
Tensor413                                               (8,)   512.00B
Tensor414                                             (8, 8)   512.00B
Tensor415                                             (8, 8)   512.00B
Tensor416                                             (8, 8)   512.00B
Tensor417                                               (8,)   512.00B
Tensor418                                               (8,)   512.00B
Tensor419                                               (8,)   512.00B
Tensor420                                             (2, 8)   512.00B
Tensor421                                             (2, 8)   512.00B
Tensor422                                             (2, 8)   512.00B
Tensor423                                               (2,)   512.00B
Tensor424                                               (2,)   512.00B
Tensor425                                               (2,)   512.00B
Tensor426                                             (8, 1)   512.00B
Tensor427                                             (8, 1)   512.00B
Tensor428                                             (8, 1)   512.00B
Tensor429                                               (8,)   512.00B
Tensor430                                               (8,)   512.00B
Tensor431                                               (8,)   512.00B
Tensor432                                             (8, 8)   512.00B
Tensor433                                             (8, 8)   512.00B
Tensor434                                             (8, 8)   512.00B
Tensor435                                               (8,)   512.00B
Tensor436                                               (8,)   512.00B
Tensor437                                               (8,)   512.00B
Tensor438                                             (2, 8)   512.00B
Tensor439                                             (2, 8)   512.00B
Tensor440                                             (2, 8)   512.00B
Tensor441                                               (2,)   512.00B
Tensor442                                               (2,)   512.00B
Tensor443                                               (2,)   512.00B
Parameter444                                          (2, 8)   512.00B
Parameter444.grad                                     (2, 8)     0.00B
Parameter445                                            (2,)   512.00B
Parameter445.grad                                       (2,)     0.00B
Parameter446                                          (8, 1)   512.00B
Parameter446.grad                                     (8, 1)     0.00B
Parameter447                                            (8,)   512.00B
Parameter447.grad                                       (8,)     0.00B
Parameter448                                          (8, 8)   512.00B
Parameter448.grad                                     (8, 8)     0.00B
Parameter449                                            (8,)   512.00B
Parameter449.grad                                       (8,)     0.00B
Parameter450                                          (2, 8)   512.00B
Parameter450.grad                                     (2, 8)     0.00B
Parameter451                                            (2,)   512.00B
Parameter451.grad                                       (2,)     0.00B
Tensor452                                               (1,)   512.00B
Tensor453                                               (1,)   512.00B
Tensor454                                               (1,)   512.00B
Tensor455                                               (1,)   512.00B
Tensor456                                               (1,)   512.00B
Tensor457                                             (8, 1)   512.00B
Tensor458                                             (8, 8)   512.00B
Tensor459                                             (2, 8)   512.00B
Parameter460                                          (8, 1)   512.00B
Parameter460.grad                                     (8, 1)     0.00B
Parameter461                                            (8,)   512.00B
Parameter461.grad                                       (8,)     0.00B
Parameter462                                          (8, 8)   512.00B
Parameter462.grad                                     (8, 8)     0.00B
Parameter463                                            (8,)   512.00B
Parameter463.grad                                       (8,)     0.00B
Parameter464                                          (2, 8)   512.00B
Parameter464.grad                                     (2, 8)     0.00B
Parameter465                                            (2,)   512.00B
Parameter465.grad                                       (2,)     0.00B
Parameter466                                          (8, 1)   512.00B
Parameter466.grad                                     (8, 1)     0.00B
Parameter467                                            (8,)   512.00B
Parameter467.grad                                       (8,)     0.00B
Parameter468                                          (8, 8)   512.00B
Parameter468.grad                                     (8, 8)     0.00B
Parameter469                                            (8,)   512.00B
Parameter469.grad                                       (8,)     0.00B
Parameter470                                          (2, 8)   512.00B
Parameter470.grad                                     (2, 8)     0.00B
Parameter471                                            (2,)   512.00B
Parameter471.grad                                       (2,)     0.00B
Parameter472                                          (8, 1)   512.00B
Parameter472.grad                                     (8, 1)     0.00B
Parameter473                                            (8,)   512.00B
Parameter473.grad                                       (8,)     0.00B
Parameter474                                          (8, 8)   512.00B
Parameter474.grad                                     (8, 8)     0.00B
Parameter475                                            (8,)   512.00B
Parameter475.grad                                       (8,)     0.00B
Parameter476                                          (2, 8)   512.00B
Parameter476.grad                                     (2, 8)     0.00B
Parameter477                                            (2,)   512.00B
